"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Taxon_001","Bacteria","Bacteroidota","Class_1","Order_1","Family_1","Genus_1","Species_1"
"Taxon_002","Bacteria","Firmicutes","Class_2","Order_2","Family_2","Genus_2","Species_2"
"Taxon_003","Bacteria","Firmicutes","Class_3","Order_3","Family_3","Genus_3","Species_3"
"Taxon_004","Bacteria","Firmicutes","Class_4","Order_4","Family_4","Genus_4","Species_4"
"Taxon_005","Bacteria","Firmicutes","Class_5","Order_5","Family_5","Genus_5","Species_5"
"Taxon_006","Bacteria","Proteobacteria","Class_6","Order_6","Family_6","Genus_6","Species_6"
"Taxon_007","Bacteria","Firmicutes","Class_7","Order_7","Family_7","Genus_7","Species_7"
"Taxon_008","Bacteria","Bacteroidota","Class_8","Order_8","Family_8","Genus_8","Species_8"
"Taxon_009","Bacteria","Firmicutes","Class_9","Order_9","Family_9","Genus_9","Species_9"
"Taxon_010","Bacteria","Bacteroidota","Class_10","Order_10","Family_10","Genus_10","Species_10"
"Taxon_011","Bacteria","Firmicutes","Class_11","Order_11","Family_11","Genus_11","Species_11"
"Taxon_012","Bacteria","Bacteroidota","Class_12","Order_12","Family_12","Genus_12","Species_12"
"Taxon_013","Bacteria","Firmicutes","Class_13","Order_13","Family_13","Genus_13","Species_13"
"Taxon_014","Bacteria","Bacteroidota","Class_14","Order_14","Family_14","Genus_14","Species_14"
"Taxon_015","Bacteria","Firmicutes","Class_15","Order_15","Family_15","Genus_15","Species_15"
"Taxon_016","Bacteria","Bacteroidota","Class_16","Order_16","Family_16","Genus_16","Species_16"
"Taxon_017","Bacteria","Bacteroidota","Class_17","Order_17","Family_17","Genus_17","Species_17"
"Taxon_018","Bacteria","Firmicutes","Class_18","Order_18","Family_18","Genus_18","Species_18"
"Taxon_019","Bacteria","Bacteroidota","Class_19","Order_19","Family_19","Genus_19","Species_19"
"Taxon_020","Bacteria","Firmicutes","Class_20","Order_20","Family_20","Genus_20","Species_20"
"Taxon_021","Bacteria","Bacteroidota","Class_21","Order_21","Family_21","Genus_21","Species_21"
"Taxon_022","Bacteria","Firmicutes","Class_22","Order_22","Family_22","Genus_22","Species_22"
"Taxon_023","Bacteria","Bacteroidota","Class_23","Order_23","Family_23","Genus_23","Species_23"
"Taxon_024","Bacteria","Firmicutes","Class_24","Order_24","Family_24","Genus_24","Species_24"
"Taxon_025","Bacteria","Bacteroidota","Class_25","Order_25","Family_25","Genus_25","Species_25"
"Taxon_026","Bacteria","Bacteroidota","Class_26","Order_26","Family_26","Genus_26","Species_26"
"Taxon_027","Bacteria","Bacteroidota","Class_27","Order_27","Family_27","Genus_27","Species_27"
"Taxon_028","Bacteria","Bacteroidota","Class_28","Order_28","Family_28","Genus_28","Species_28"
"Taxon_029","Bacteria","Verrucomicrobiota","Class_29","Order_29","Family_29","Genus_29","Species_29"
"Taxon_030","Bacteria","Bacteroidota","Class_30","Order_30","Family_30","Genus_30","Species_30"
"Taxon_031","Bacteria","Actinobacteria","Class_31","Order_31","Family_31","Genus_31","Species_31"
"Taxon_032","Bacteria","Proteobacteria","Class_32","Order_32","Family_32","Genus_32","Species_32"
"Taxon_033","Bacteria","Firmicutes","Class_33","Order_33","Family_33","Genus_33","Species_33"
"Taxon_034","Bacteria","Actinobacteria","Class_34","Order_34","Family_34","Genus_34","Species_34"
"Taxon_035","Bacteria","Bacteroidota","Class_35","Order_35","Family_35","Genus_35","Species_35"
"Taxon_036","Bacteria","Actinobacteria","Class_36","Order_36","Family_36","Genus_36","Species_36"
"Taxon_037","Bacteria","Proteobacteria","Class_37","Order_37","Family_37","Genus_37","Species_37"
"Taxon_038","Bacteria","Firmicutes","Class_38","Order_38","Family_38","Genus_38","Species_38"
"Taxon_039","Bacteria","Bacteroidota","Class_39","Order_39","Family_39","Genus_39","Species_39"
"Taxon_040","Bacteria","Bacteroidota","Class_40","Order_40","Family_40","Genus_40","Species_40"
"Taxon_041","Bacteria","Bacteroidota","Class_41","Order_41","Family_41","Genus_41","Species_41"
"Taxon_042","Bacteria","Bacteroidota","Class_42","Order_42","Family_42","Genus_42","Species_42"
"Taxon_043","Bacteria","Firmicutes","Class_43","Order_43","Family_43","Genus_43","Species_43"
"Taxon_044","Bacteria","Bacteroidota","Class_44","Order_44","Family_44","Genus_44","Species_44"
"Taxon_045","Bacteria","Proteobacteria","Class_45","Order_45","Family_45","Genus_45","Species_45"
"Taxon_046","Bacteria","Firmicutes","Class_46","Order_46","Family_46","Genus_46","Species_46"
"Taxon_047","Bacteria","Firmicutes","Class_47","Order_47","Family_47","Genus_47","Species_47"
"Taxon_048","Bacteria","Firmicutes","Class_48","Order_48","Family_48","Genus_48","Species_48"
"Taxon_049","Bacteria","Bacteroidota","Class_49","Order_49","Family_49","Genus_49","Species_49"
"Taxon_050","Bacteria","Firmicutes","Class_50","Order_50","Family_50","Genus_50","Species_50"
"Taxon_051","Bacteria","Proteobacteria","Class_51","Order_51","Family_51","Genus_51","Species_51"
"Taxon_052","Bacteria","Bacteroidota","Class_52","Order_52","Family_52","Genus_52","Species_52"
"Taxon_053","Bacteria","Proteobacteria","Class_53","Order_53","Family_53","Genus_53","Species_53"
"Taxon_054","Bacteria","Firmicutes","Class_54","Order_54","Family_54","Genus_54","Species_54"
"Taxon_055","Bacteria","Bacteroidota","Class_55","Order_55","Family_55","Genus_55","Species_55"
"Taxon_056","Bacteria","Bacteroidota","Class_56","Order_56","Family_56","Genus_56","Species_56"
"Taxon_057","Bacteria","Firmicutes","Class_57","Order_57","Family_57","Genus_57","Species_57"
"Taxon_058","Bacteria","Firmicutes","Class_58","Order_58","Family_58","Genus_58","Species_58"
"Taxon_059","Bacteria","Firmicutes","Class_59","Order_59","Family_59","Genus_59","Species_59"
"Taxon_060","Bacteria","Firmicutes","Class_60","Order_60","Family_60","Genus_60","Species_60"
"Taxon_061","Bacteria","Firmicutes","Class_61","Order_61","Family_61","Genus_61","Species_61"
"Taxon_062","Bacteria","Firmicutes","Class_62","Order_62","Family_62","Genus_62","Species_62"
"Taxon_063","Bacteria","Actinobacteria","Class_63","Order_63","Family_63","Genus_63","Species_63"
"Taxon_064","Bacteria","Firmicutes","Class_64","Order_64","Family_64","Genus_64","Species_64"
"Taxon_065","Bacteria","Bacteroidota","Class_65","Order_65","Family_65","Genus_65","Species_65"
"Taxon_066","Bacteria","Bacteroidota","Class_66","Order_66","Family_66","Genus_66","Species_66"
"Taxon_067","Bacteria","Firmicutes","Class_67","Order_67","Family_67","Genus_67","Species_67"
"Taxon_068","Bacteria","Bacteroidota","Class_68","Order_68","Family_68","Genus_68","Species_68"
"Taxon_069","Bacteria","Verrucomicrobiota","Class_69","Order_69","Family_69","Genus_69","Species_69"
"Taxon_070","Bacteria","Verrucomicrobiota","Class_70","Order_70","Family_70","Genus_70","Species_70"
"Taxon_071","Bacteria","Firmicutes","Class_71","Order_71","Family_71","Genus_71","Species_71"
"Taxon_072","Bacteria","Firmicutes","Class_72","Order_72","Family_72","Genus_72","Species_72"
"Taxon_073","Bacteria","Verrucomicrobiota","Class_73","Order_73","Family_73","Genus_73","Species_73"
"Taxon_074","Bacteria","Bacteroidota","Class_74","Order_74","Family_74","Genus_74","Species_74"
"Taxon_075","Bacteria","Bacteroidota","Class_75","Order_75","Family_75","Genus_75","Species_75"
"Taxon_076","Bacteria","Bacteroidota","Class_76","Order_76","Family_76","Genus_76","Species_76"
"Taxon_077","Bacteria","Proteobacteria","Class_77","Order_77","Family_77","Genus_77","Species_77"
"Taxon_078","Bacteria","Bacteroidota","Class_78","Order_78","Family_78","Genus_78","Species_78"
"Taxon_079","Bacteria","Bacteroidota","Class_79","Order_79","Family_79","Genus_79","Species_79"
"Taxon_080","Bacteria","Proteobacteria","Class_80","Order_80","Family_80","Genus_80","Species_80"
"Taxon_081","Bacteria","Bacteroidota","Class_81","Order_81","Family_81","Genus_81","Species_81"
"Taxon_082","Bacteria","Bacteroidota","Class_82","Order_82","Family_82","Genus_82","Species_82"
"Taxon_083","Bacteria","Proteobacteria","Class_83","Order_83","Family_83","Genus_83","Species_83"
"Taxon_084","Bacteria","Bacteroidota","Class_84","Order_84","Family_84","Genus_84","Species_84"
"Taxon_085","Bacteria","Bacteroidota","Class_85","Order_85","Family_85","Genus_85","Species_85"
"Taxon_086","Bacteria","Bacteroidota","Class_86","Order_86","Family_86","Genus_86","Species_86"
"Taxon_087","Bacteria","Firmicutes","Class_87","Order_87","Family_87","Genus_87","Species_87"
"Taxon_088","Bacteria","Proteobacteria","Class_88","Order_88","Family_88","Genus_88","Species_88"
"Taxon_089","Bacteria","Proteobacteria","Class_89","Order_89","Family_89","Genus_89","Species_89"
"Taxon_090","Bacteria","Bacteroidota","Class_90","Order_90","Family_90","Genus_90","Species_90"
"Taxon_091","Bacteria","Proteobacteria","Class_91","Order_91","Family_91","Genus_91","Species_91"
"Taxon_092","Bacteria","Firmicutes","Class_92","Order_92","Family_92","Genus_92","Species_92"
"Taxon_093","Bacteria","Firmicutes","Class_93","Order_93","Family_93","Genus_93","Species_93"
"Taxon_094","Bacteria","Bacteroidota","Class_94","Order_94","Family_94","Genus_94","Species_94"
"Taxon_095","Bacteria","Bacteroidota","Class_95","Order_95","Family_95","Genus_95","Species_95"
"Taxon_096","Bacteria","Firmicutes","Class_96","Order_96","Family_96","Genus_96","Species_96"
"Taxon_097","Bacteria","Firmicutes","Class_97","Order_97","Family_97","Genus_97","Species_97"
"Taxon_098","Bacteria","Actinobacteria","Class_98","Order_98","Family_98","Genus_98","Species_98"
"Taxon_099","Bacteria","Firmicutes","Class_99","Order_99","Family_99","Genus_99","Species_99"
"Taxon_100","Bacteria","Actinobacteria","Class_100","Order_100","Family_100","Genus_100","Species_100"
"Taxon_101","Bacteria","Bacteroidota","Class_101","Order_101","Family_101","Genus_101","Species_101"
"Taxon_102","Bacteria","Bacteroidota","Class_102","Order_102","Family_102","Genus_102","Species_102"
"Taxon_103","Bacteria","Bacteroidota","Class_103","Order_103","Family_103","Genus_103","Species_103"
"Taxon_104","Bacteria","Actinobacteria","Class_104","Order_104","Family_104","Genus_104","Species_104"
"Taxon_105","Bacteria","Bacteroidota","Class_105","Order_105","Family_105","Genus_105","Species_105"
"Taxon_106","Bacteria","Bacteroidota","Class_106","Order_106","Family_106","Genus_106","Species_106"
"Taxon_107","Bacteria","Firmicutes","Class_107","Order_107","Family_107","Genus_107","Species_107"
"Taxon_108","Bacteria","Firmicutes","Class_108","Order_108","Family_108","Genus_108","Species_108"
"Taxon_109","Bacteria","Bacteroidota","Class_109","Order_109","Family_109","Genus_109","Species_109"
"Taxon_110","Bacteria","Proteobacteria","Class_110","Order_110","Family_110","Genus_110","Species_110"
"Taxon_111","Bacteria","Verrucomicrobiota","Class_111","Order_111","Family_111","Genus_111","Species_111"
"Taxon_112","Bacteria","Actinobacteria","Class_112","Order_112","Family_112","Genus_112","Species_112"
"Taxon_113","Bacteria","Firmicutes","Class_113","Order_113","Family_113","Genus_113","Species_113"
"Taxon_114","Bacteria","Proteobacteria","Class_114","Order_114","Family_114","Genus_114","Species_114"
"Taxon_115","Bacteria","Actinobacteria","Class_115","Order_115","Family_115","Genus_115","Species_115"
"Taxon_116","Bacteria","Proteobacteria","Class_116","Order_116","Family_116","Genus_116","Species_116"
"Taxon_117","Bacteria","Firmicutes","Class_117","Order_117","Family_117","Genus_117","Species_117"
"Taxon_118","Bacteria","Firmicutes","Class_118","Order_118","Family_118","Genus_118","Species_118"
"Taxon_119","Bacteria","Firmicutes","Class_119","Order_119","Family_119","Genus_119","Species_119"
"Taxon_120","Bacteria","Actinobacteria","Class_120","Order_120","Family_120","Genus_120","Species_120"
"Taxon_121","Bacteria","Firmicutes","Class_121","Order_121","Family_121","Genus_121","Species_121"
"Taxon_122","Bacteria","Firmicutes","Class_122","Order_122","Family_122","Genus_122","Species_122"
"Taxon_123","Bacteria","Firmicutes","Class_123","Order_123","Family_123","Genus_123","Species_123"
"Taxon_124","Bacteria","Firmicutes","Class_124","Order_124","Family_124","Genus_124","Species_124"
"Taxon_125","Bacteria","Verrucomicrobiota","Class_125","Order_125","Family_125","Genus_125","Species_125"
"Taxon_126","Bacteria","Actinobacteria","Class_126","Order_126","Family_126","Genus_126","Species_126"
"Taxon_127","Bacteria","Proteobacteria","Class_127","Order_127","Family_127","Genus_127","Species_127"
"Taxon_128","Bacteria","Proteobacteria","Class_128","Order_128","Family_128","Genus_128","Species_128"
"Taxon_129","Bacteria","Firmicutes","Class_129","Order_129","Family_129","Genus_129","Species_129"
"Taxon_130","Bacteria","Proteobacteria","Class_130","Order_130","Family_130","Genus_130","Species_130"
"Taxon_131","Bacteria","Bacteroidota","Class_131","Order_131","Family_131","Genus_131","Species_131"
"Taxon_132","Bacteria","Firmicutes","Class_132","Order_132","Family_132","Genus_132","Species_132"
"Taxon_133","Bacteria","Bacteroidota","Class_133","Order_133","Family_133","Genus_133","Species_133"
"Taxon_134","Bacteria","Firmicutes","Class_134","Order_134","Family_134","Genus_134","Species_134"
"Taxon_135","Bacteria","Bacteroidota","Class_135","Order_135","Family_135","Genus_135","Species_135"
"Taxon_136","Bacteria","Firmicutes","Class_136","Order_136","Family_136","Genus_136","Species_136"
"Taxon_137","Bacteria","Firmicutes","Class_137","Order_137","Family_137","Genus_137","Species_137"
"Taxon_138","Bacteria","Firmicutes","Class_138","Order_138","Family_138","Genus_138","Species_138"
"Taxon_139","Bacteria","Bacteroidota","Class_139","Order_139","Family_139","Genus_139","Species_139"
"Taxon_140","Bacteria","Firmicutes","Class_140","Order_140","Family_140","Genus_140","Species_140"
"Taxon_141","Bacteria","Actinobacteria","Class_141","Order_141","Family_141","Genus_141","Species_141"
"Taxon_142","Bacteria","Firmicutes","Class_142","Order_142","Family_142","Genus_142","Species_142"
"Taxon_143","Bacteria","Bacteroidota","Class_143","Order_143","Family_143","Genus_143","Species_143"
"Taxon_144","Bacteria","Actinobacteria","Class_144","Order_144","Family_144","Genus_144","Species_144"
"Taxon_145","Bacteria","Firmicutes","Class_145","Order_145","Family_145","Genus_145","Species_145"
"Taxon_146","Bacteria","Bacteroidota","Class_146","Order_146","Family_146","Genus_146","Species_146"
"Taxon_147","Bacteria","Bacteroidota","Class_147","Order_147","Family_147","Genus_147","Species_147"
"Taxon_148","Bacteria","Firmicutes","Class_148","Order_148","Family_148","Genus_148","Species_148"
"Taxon_149","Bacteria","Bacteroidota","Class_149","Order_149","Family_149","Genus_149","Species_149"
"Taxon_150","Bacteria","Actinobacteria","Class_150","Order_150","Family_150","Genus_150","Species_150"
"Taxon_151","Bacteria","Firmicutes","Class_151","Order_151","Family_151","Genus_151","Species_151"
"Taxon_152","Bacteria","Firmicutes","Class_152","Order_152","Family_152","Genus_152","Species_152"
"Taxon_153","Bacteria","Bacteroidota","Class_153","Order_153","Family_153","Genus_153","Species_153"
"Taxon_154","Bacteria","Firmicutes","Class_154","Order_154","Family_154","Genus_154","Species_154"
"Taxon_155","Bacteria","Verrucomicrobiota","Class_155","Order_155","Family_155","Genus_155","Species_155"
"Taxon_156","Bacteria","Firmicutes","Class_156","Order_156","Family_156","Genus_156","Species_156"
"Taxon_157","Bacteria","Actinobacteria","Class_157","Order_157","Family_157","Genus_157","Species_157"
"Taxon_158","Bacteria","Bacteroidota","Class_158","Order_158","Family_158","Genus_158","Species_158"
"Taxon_159","Bacteria","Actinobacteria","Class_159","Order_159","Family_159","Genus_159","Species_159"
"Taxon_160","Bacteria","Firmicutes","Class_160","Order_160","Family_160","Genus_160","Species_160"
"Taxon_161","Bacteria","Firmicutes","Class_161","Order_161","Family_161","Genus_161","Species_161"
"Taxon_162","Bacteria","Bacteroidota","Class_162","Order_162","Family_162","Genus_162","Species_162"
"Taxon_163","Bacteria","Proteobacteria","Class_163","Order_163","Family_163","Genus_163","Species_163"
"Taxon_164","Bacteria","Bacteroidota","Class_164","Order_164","Family_164","Genus_164","Species_164"
"Taxon_165","Bacteria","Bacteroidota","Class_165","Order_165","Family_165","Genus_165","Species_165"
"Taxon_166","Bacteria","Bacteroidota","Class_166","Order_166","Family_166","Genus_166","Species_166"
"Taxon_167","Bacteria","Proteobacteria","Class_167","Order_167","Family_167","Genus_167","Species_167"
"Taxon_168","Bacteria","Firmicutes","Class_168","Order_168","Family_168","Genus_168","Species_168"
"Taxon_169","Bacteria","Bacteroidota","Class_169","Order_169","Family_169","Genus_169","Species_169"
"Taxon_170","Bacteria","Bacteroidota","Class_170","Order_170","Family_170","Genus_170","Species_170"
"Taxon_171","Bacteria","Verrucomicrobiota","Class_171","Order_171","Family_171","Genus_171","Species_171"
"Taxon_172","Bacteria","Firmicutes","Class_172","Order_172","Family_172","Genus_172","Species_172"
"Taxon_173","Bacteria","Proteobacteria","Class_173","Order_173","Family_173","Genus_173","Species_173"
"Taxon_174","Bacteria","Bacteroidota","Class_174","Order_174","Family_174","Genus_174","Species_174"
"Taxon_175","Bacteria","Bacteroidota","Class_175","Order_175","Family_175","Genus_175","Species_175"
"Taxon_176","Bacteria","Bacteroidota","Class_176","Order_176","Family_176","Genus_176","Species_176"
"Taxon_177","Bacteria","Firmicutes","Class_177","Order_177","Family_177","Genus_177","Species_177"
"Taxon_178","Bacteria","Verrucomicrobiota","Class_178","Order_178","Family_178","Genus_178","Species_178"
"Taxon_179","Bacteria","Firmicutes","Class_179","Order_179","Family_179","Genus_179","Species_179"
"Taxon_180","Bacteria","Proteobacteria","Class_180","Order_180","Family_180","Genus_180","Species_180"
"Taxon_181","Bacteria","Firmicutes","Class_181","Order_181","Family_181","Genus_181","Species_181"
"Taxon_182","Bacteria","Firmicutes","Class_182","Order_182","Family_182","Genus_182","Species_182"
"Taxon_183","Bacteria","Bacteroidota","Class_183","Order_183","Family_183","Genus_183","Species_183"
"Taxon_184","Bacteria","Firmicutes","Class_184","Order_184","Family_184","Genus_184","Species_184"
"Taxon_185","Bacteria","Bacteroidota","Class_185","Order_185","Family_185","Genus_185","Species_185"
"Taxon_186","Bacteria","Firmicutes","Class_186","Order_186","Family_186","Genus_186","Species_186"
"Taxon_187","Bacteria","Actinobacteria","Class_187","Order_187","Family_187","Genus_187","Species_187"
"Taxon_188","Bacteria","Firmicutes","Class_188","Order_188","Family_188","Genus_188","Species_188"
"Taxon_189","Bacteria","Bacteroidota","Class_189","Order_189","Family_189","Genus_189","Species_189"
"Taxon_190","Bacteria","Bacteroidota","Class_190","Order_190","Family_190","Genus_190","Species_190"
"Taxon_191","Bacteria","Bacteroidota","Class_191","Order_191","Family_191","Genus_191","Species_191"
"Taxon_192","Bacteria","Actinobacteria","Class_192","Order_192","Family_192","Genus_192","Species_192"
"Taxon_193","Bacteria","Firmicutes","Class_193","Order_193","Family_193","Genus_193","Species_193"
"Taxon_194","Bacteria","Actinobacteria","Class_194","Order_194","Family_194","Genus_194","Species_194"
"Taxon_195","Bacteria","Firmicutes","Class_195","Order_195","Family_195","Genus_195","Species_195"
"Taxon_196","Bacteria","Firmicutes","Class_196","Order_196","Family_196","Genus_196","Species_196"
"Taxon_197","Bacteria","Proteobacteria","Class_197","Order_197","Family_197","Genus_197","Species_197"
"Taxon_198","Bacteria","Actinobacteria","Class_198","Order_198","Family_198","Genus_198","Species_198"
"Taxon_199","Bacteria","Verrucomicrobiota","Class_199","Order_199","Family_199","Genus_199","Species_199"
"Taxon_200","Bacteria","Actinobacteria","Class_200","Order_200","Family_200","Genus_200","Species_200"
